song_47,user_1,2025-05-28T02:32:47.000Z,270,Song 47,Artist E,Classical,Chill
song_28,user_36,2025-05-30T15:16:32.000Z,270,Song 28,Artist B,Jazz,Happy
song_39,user_18,2025-04-28T12:14:06.000Z,195,Song 39,Artist E,Classical,Chill
song_7,user_41,2025-05-02T04:45:50.000Z,261,Song 7,Artist A,Classical,Sad
song_63,user_13,2025-04-15T09:34:51.000Z,52,Song 63,Artist A,Rock,Happy
song_100,user_2,2025-05-25T23:39:07.000Z,154,Song 100,Artist E,Classical,Happy
song_57,user_2,2025-05-26T11:07:03.000Z,213,Song 57,Artist A,Rock,Energetic
song_25,user_5,2025-05-10T09:49:08.000Z,265,Song 25,Artist A,Rock,Happy
song_38,user_35,2025-05-07T12:56:21.000Z,72,Song 38,Artist E,Jazz,Sad
song_53,user_45,2025-04-21T06:52:30.000Z,109,Song 53,Artist B,Rock,Chill
song_32,user_9,2025-05-27T13:01:35.000Z,240,Song 32,Artist C,Hip-Hop,Energetic
song_17,user_4,2025-05-20T12:56:42.000Z,118,Song 17,Artist E,Jazz,Sad
song_36,user_5,2025-04-25T17:57:14.000Z,56,Song 36,Artist E,Rock,Energetic
song_12,user_34,2025-05-17T19:41:40.000Z,274,Song 12,Artist C,Jazz,Chill
song_37,user_27,2025-05-26T22:09:43.000Z,91,Song 37,Artist B,Rock,Energetic
song_7,user_49,2025-04-20T00:32:15.000Z,225,Song 7,Artist A,Classical,Sad
song_19,user_20,2025-05-10T13:52:12.000Z,231,Song 19,Artist D,Jazz,Happy
song_91,user_42,2025-05-21T18:12:44.000Z,173,Song 91,Artist D,Pop,Sad
song_22,user_49,2025-05-18T00:55:59.000Z,132,Song 22,Artist E,Rock,Sad
song_89,user_11,2025-05-18T19:19:57.000Z,289,Song 89,Artist D,Hip-Hop,Sad
song_86,user_15,2025-04-21T23:41:56.000Z,69,Song 86,Artist B,Classical,Energetic
song_74,user_19,2025-04-09T14:48:06.000Z,232,Song 74,Artist B,Hip-Hop,Sad
song_42,user_6,2025-04-17T16:18:51.000Z,93,Song 42,Artist A,Hip-Hop,Happy
song_11,user_27,2025-04-28T04:17:30.000Z,122,Song 11,Artist E,Rock,Sad
song_96,user_40,2025-05-27T02:07:36.000Z,126,Song 96,Artist C,Hip-Hop,Energetic
song_72,user_6,2025-05-03T10:04:02.000Z,45,Song 72,Artist B,Hip-Hop,Energetic
song_48,user_22,2025-04-22T09:27:33.000Z,99,Song 48,Artist D,Classical,Sad
